framework,pattern,calls,fwtot,label
superagi,.execute_next_action,0,0,superagi  .execute_next_action
superagi,.run,0,0,superagi  .run
superduper,.apply,0,0,superduper  .apply
superduper,.fit,0,0,superduper  .fit
superduper,.predict,0,0,superduper  .predict
swarms,.arun,0,0,swarms  .arun
swarms,.run,0,0,swarms  .run
ten,.run,0,0,ten  .run
ten,.start,0,0,ten  .start
uagents,.run,0,0,uagents  .run
uagents,.send,0,0,uagents  .send
lagent,.forward,0,1,lagent  .forward
lagent,.run,0,1,lagent  .run
lagent,.step,0,1,lagent  .step
lagent,.stream_chat,0,1,lagent  .stream_chat
lagent,.chat,1,1,lagent  .chat
langchain_google_genai,.abatch,0,1,langchain_google_genai  .abatch
langchain_google_genai,.acall,0,1,langchain_google_genai  .acall
langchain_google_genai,.agenerate,0,1,langchain_google_genai  .agenerate
langchain_google_genai,.ainvoke,0,1,langchain_google_genai  .ainvoke
langchain_google_genai,.apredict,0,1,langchain_google_genai  .apredict
langchain_google_genai,.apredict_messages,0,1,langchain_google_genai  .apredict_messages
langchain_google_genai,.arun,0,1,langchain_google_genai  .arun
langchain_google_genai,.astream,0,1,langchain_google_genai  .astream
langchain_google_genai,.astream_events,0,1,langchain_google_genai  .astream_events
langchain_google_genai,.atransform,0,1,langchain_google_genai  .atransform
langchain_google_genai,.batch,0,1,langchain_google_genai  .batch
langchain_google_genai,.call,0,1,langchain_google_genai  .call
langchain_google_genai,.generate,0,1,langchain_google_genai  .generate
langchain_google_genai,.predict,0,1,langchain_google_genai  .predict
langchain_google_genai,.predict_messages,0,1,langchain_google_genai  .predict_messages
langchain_google_genai,.run,0,1,langchain_google_genai  .run
langchain_google_genai,.stream,0,1,langchain_google_genai  .stream
langchain_google_genai,.stream_events,0,1,langchain_google_genai  .stream_events
langchain_google_genai,.transform,0,1,langchain_google_genai  .transform
langchain_google_genai,.invoke,1,1,langchain_google_genai  .invoke
langchain_together,.abatch,0,1,langchain_together  .abatch
langchain_together,.acall,0,1,langchain_together  .acall
langchain_together,.agenerate,0,1,langchain_together  .agenerate
langchain_together,.ainvoke,0,1,langchain_together  .ainvoke
langchain_together,.apredict,0,1,langchain_together  .apredict
langchain_together,.apredict_messages,0,1,langchain_together  .apredict_messages
langchain_together,.arun,0,1,langchain_together  .arun
langchain_together,.astream,0,1,langchain_together  .astream
langchain_together,.astream_events,0,1,langchain_together  .astream_events
langchain_together,.atransform,0,1,langchain_together  .atransform
langchain_together,.batch,0,1,langchain_together  .batch
langchain_together,.call,0,1,langchain_together  .call
