importer_slug,name,files
Shubhamsaboo_awesome-llm-apps,scrapegraphai,3
Shubhamsaboo_awesome-llm-apps,mcp_agent,1
SkyworkAI_Matrix-3D,diffsynth,82
SkyworkAI_Matrix-3D,diffusers,6
SmartFlowAI_EmoLLM,xtuner,27
SocialAI-tianji_Tianji,tianji,36
SocialAI-tianji_Tianji,xtuner,2
Significant-Gravitas_AutoGPT,elevenlabs,1
Significant-Gravitas_AutoGPT,sentry_sdk,11
Significant-Gravitas_AutoGPT,posthog,2
Significant-Gravitas_AutoGPT,forge,118
StabRise_ScaleDP,scaledp,95
SponsioLabs_Sponsio,sponsio,267
SHAdd0WTAka_Zen-Ai-Pentest,zen_ai_pentest,7
SkBlaz_py3plex,py3plex,1001
StonyBrookNLP_appworld,appworld,165
StonyBrookNLP_appworld,vllm,2
StonyBrookNLP_appworld,weave,1
SuperagenticAI_dspy-code,dspy_cli,2
SuperagenticAI_dspy-code,dspy_code,17
TIGER-AI-Lab_Context-Forcing,diffsynth,13
TIGER-AI-Lab_Context-Forcing,diffusers,8
TNT-Likely_PanWatch,tradingagents,5
StellarCN_py-stellar-base,stellar_sdk,165
TUM-AVS_target-bench,diffsynth,3
Skyvern-AI_skyvern,skyvern,1362
Skyvern-AI_skyvern,posthog,2
Skyvern-AI_skyvern,logfire,2
TauricResearch_TradingAgents,tradingagents,86
SuperagenticAI_superqode,superqode,523
SuperagenticAI_superqode,logfire,2
SuperagenticAI_superqode,cognee,1
TeleAI-UAGI_telemem,telemem,25
THUIR_MemoryBench,posthog,2
THUIR_MemoryBench,langchain_tavily,1
THUIR_MemoryBench,elevenlabs,1
THUIR_MemoryBench,fastapi_pagination,2
The-Swarm-Corporation_ClawSwarm,claw_swarm,37
The-Swarm-Corporation_ClawSwarm,vllm,1
The-Swarm-Corporation_swarms-memory,swarms_memory,40
The-Swarm-Corporation_swarms-memory,singlestoredb,2
The-Swarm-Corporation_swarms-client,swarms_client,32
Tobi-De_cookiecutter-fastapi,sentry_sdk,1
Tobi-De_cookiecutter-fastapi,motor,1
Tianyi-Billy-Ma_AutoData,autodata,48
Tencent_AI-Infra-Guard,posthog,1
Tencent_AI-Infra-Guard,sentry_sdk,1
Trampoline-AI_predict-rlm,predict_rlm,103
Trampoline-AI_predict-rlm,appworld,1
TsinghuaDatabaseGroup_DB-GPT,vllm,1
ThreeMoonsLab_agents-shipgate,agents_shipgate,475
UiPath_uipath-langchain-python,uipath_langchain,214
UiPath_uipath-langchain-python,langchain_tavily,8
VirtualPatientEngine_AIAgents4Pharma,aiagents4pharma,41
Wh1isper_ya-mono,lark_oapi,2
Upsonic_Upsonic,upsonic,778
Upsonic_Upsonic,vllm,2
Upsonic_Upsonic,motor,1
Upsonic_Upsonic,sentry_sdk,3
Vocab-Apps_anki-hyper-tts,sentry_sdk,178
Vocab-Apps_anki-hyper-tts,pyramid,1
TracecatHQ_tracecat,tracecat,992
TracecatHQ_tracecat,sentry_sdk,3
WhissleAI_PromptingNemo,promptingnemo,34
WhitzardAgent_snowl,snowl,386
XinXU-USTC_Composition-RL,vllm,5
YasodGinige_AutoPentester,pentestgpt,19
Yaofang-Liu_Pusa-VidGen,diffsynth,10
Yagami360_ai-product-dev-tips,sentry_sdk,1
TheodoreGalanos_aec-bench,aec_bench,1266
ZeroSumEval_ZeroSumEval,zero_sum_eval,48
accelero-cloud_appkernel,appkernel,39
accelero-cloud_appkernel,motor,8
ababdotai_awesome-agent-quickstart,marvin,1
ababdotai_awesome-agent-quickstart,langgraph_swarm,1
Yanyutin753_LambChat,lark_oapi,4
Yanyutin753_LambChat,motor,6
af-74413592_DeepWerewolf,agentlightning,20
af-74413592_DeepWerewolf,vllm,3
af-74413592_DeepWerewolf,agentscope,3
adafruit_Adafruit_Blinka,adafruit_blinka,243
ae-utbm_sith,sith,6
ae-utbm_sith,sentry_sdk,3
agentiqs_mcp-kit-python,mcp_kit,42
agencyenterprise_draft-detective,langchain_postgres,1
agentstack-ai_AgentStack,agentstack,83
agentscope-ai_agentscope-runtime,agentscope_runtime,119
agentscope-ai_agentscope-runtime,agentscope,28
agentscope-ai_agentscope-runtime,appworld,1
agiresearch_AIOS,vllm,1
agentscope-ai_agentscope,agentscope,182
agentscope-ai_agentscope,lark_oapi,2
agiresearch_Cerebrum,diffusers,2
agentbay-ai_wuying-agentbay-sdk,agentscope,2
ai-christianson_RA.Aid,ra_aid,167
airblackbox_airblackbox,sentry_sdk,1
airblackbox_airblackbox,diffusers,1
ai-forever_giga_agent,langchain_tavily,1
aitomatic_openssa,openssa,83
ai-bot-pro_achatbot,evalscope,1
ai-bot-pro_achatbot,vllm,17
ai-bot-pro_achatbot,diffusers,2
alibaba_loongsuite-python,pyramid,5
alibaba_loongsuite-python,agentscope,17
altescy_colt,colt,35
angr_angr,angr,1249
arc53_DocsGPT,elevenlabs,1
areal-project_AReaL,areal,633
areal-project_AReaL,vllm,5
arieradle_shekel,shekel,140
arklexai_arksim,arksim,137
arm_metis,metis,177
assafelovic_gpt-researcher,gpt_researcher,78
avibe-bot_avibe,lark_oapi,4
avibe-bot_avibe,sentry_sdk,1
avnlp_dspy-opt,dspy_opt,41
aws-controllers-k8s_test-infra,acktest,3
aws-solutions-library-samples_guidance-for-no-code-multi-agent-ai-orchestration-on-aws,ddtrace,1
awslabs_distributed-multi-agent-collaboration,chorus,131
apache_airflow,pydantic_ai_shields,1
apache_airflow,pydantic_ai_harness,1
apache_airflow,sentry_sdk,1
awslabs_threat-designer,langchain_tavily,1
Yuliang-Liu_AlphaOracle,diffusers,1
basicmachines-co_basic-memory,basic_memory,688
basicmachines-co_basic-memory,logfire,44
basnijholt_agent-cli,agent_cli,186
bcgov_aries-vcr,drf_haystack,11
agno-agi_agno,memori,2
agno-agi_agno,langtrace_python_sdk,1
agno-agi_agno,weave,1
agno-agi_agno,motor,3
agno-agi_agno,vllm,1
agno-agi_agno,elevenlabs,1
aivrar_portable-hermes-agent,lark_oapi,5
aivrar_portable-hermes-agent,elevenlabs,2
baserow_baserow,sentry_sdk,6
baserow_baserow,posthog,1
binrogithub_1-3-Cloud-Adoption-Skills,ddtrace,1
biocore_gemelli,gemelli,32
bibinprathap_VeritasGraph,veritasgraph_mcp,4
bghira_SimpleTuner,simpletuner,747
bghira_SimpleTuner,diffusers,269
blaxel-ai_sdk-python,blaxel,98
bonigarcia_context-engineering,cognee,1
blue-marble_gridpath,gridpath,378
borealBytes_dokploy-wizard,dokploy_wizard,151
bradAGI_GraphMemory,graphmemory,8
boringdata_boring-semantic-layer,boring_semantic_layer,125
brevia-ai_brevia,brevia,76
brightdata_brightdata-agent-showcase,mcpadapt,4
bvcyber_Cyber-AutoAgent-ng,langchain_litellm,2
braintrustdata_braintrust-sdk-python,agentscope,3
braintrustdata_braintrust-sdk-python,logfire,1
boringdata_kurt-core,posthog,1
canvas-medical_canvas-plugins,sentry_sdk,5
bytedance_deer-flow,lark_oapi,3
causalNLP_causal-agent,langchain_litellm,1
capocchi_DEVSimPy,devsimpy,1
cevoaustralia_aws-google-auth,aws_google_auth,14
cel-ai_celai,marko,1
cel-ai_celai,elevenlabs,1
bytedance_Video-As-Prompt,diffusers,741
chengzi0103_SoulSpeak,soul_speak,35
chengzi0103_SoulSpeak,vllm,2
PostHog_posthog,posthog,8819
PostHog_posthog,elevenlabs,1
cladius_agentic-ai,elevenlabs,3
cladius_agentic-ai,logfire,12
climateandtech_report-analyst,report_analyst,45
cloudera_CAI_STUDIO_AGENT,mcpadapt,2
cmpnd-ai_dspy-cli,dspy_cli,36
claudlos_hermes-katana,hermes_katana,270
cognizant-ai-lab_neuro-san-studio,neuro_san_studio,92
